area,data,coltura,bbch_min,bbch_max,fasi
Bologna e Ferrara,2026-03-25,SUSINO_CINO_GIAPPONESE,67,71,da caduta petali ad allegagione
Bologna e Ferrara,2026-03-25,SUSINO_EUROPEO,57,69,da bottone bianco a fioritura
Bologna e Ferrara,2026-03-25,VITE,5,7,da gemma cotonosa a inizio germogliamento
Bologna e Ferrara,2026-04-01,ACTINIDIA,7,9,germogliamento
Bologna e Ferrara,2026-04-01,ALBICOCCO,72,73,scamiciatura
Bologna e Ferrara,2026-04-01,CILIEGIO,60,69,fioritura
Bologna e Ferrara,2026-04-01,GIRASOLE,0,0,Pre-semina || presemina
Bologna e Ferrara,2026-04-01,KAKI,7,9,germogliamento
Bologna e Ferrara,2026-04-01,MAIS,0,8,da presemina a pre-emergenza
Bologna e Ferrara,2026-04-01,MELO,57,69,da bottoni rosa a fioritura
Bologna e Ferrara,2026-04-01,NOCE,7,7,inizio germogliamento
Bologna e Ferrara,2026-04-01,OLIVO,1,9,ripresa vegetativa
Bologna e Ferrara,2026-04-01,PERO,60,69,fioritura
Bologna e Ferrara,2026-04-01,PESCO,67,71,da caduta petali ad allegagione
Bologna e Ferrara,2026-04-01,POMODORO_INDUSTRIA,0,13,pre-trapianto
Bologna e Ferrara,2026-04-01,SOIA,0,0,Pre-semina
Bologna e Ferrara,2026-04-01,SUSINO_CINO_GIAPPONESE,71,71,allegagione
Bologna e Ferrara,2026-04-01,SUSINO_EUROPEO,60,69,da fioritura a caduta petali
Bologna e Ferrara,2026-04-01,VITE,5,7,da gemma cotonosa a inizio germogliamento
Bologna e Ferrara,2026-04-08,ACTINIDIA,7,9,germogliamento
Bologna e Ferrara,2026-04-08,ALBICOCCO,71,79,da scamiciatura ad accrescimento frutti
Bologna e Ferrara,2026-04-08,CILIEGIO,67,69,caduta petali
Bologna e Ferrara,2026-04-08,GIRASOLE,0,0,da pre-semina a semina
Bologna e Ferrara,2026-04-08,KAKI,7,55,da germogliamento a comparsa abbozzi fiorali
Bologna e Ferrara,2026-04-08,MAIS,0,8,pre-emergenza
Bologna e Ferrara,2026-04-08,MELO,60,69,da fioritura a caduta petali
Bologna e Ferrara,2026-04-08,NOCE,7,7,inizio germogliamento
Bologna e Ferrara,2026-04-08,OLIVO,1,9,ripresa vegetativa
Bologna e Ferrara,2026-04-08,PERO,67,71,da caduta petali a inizio allegagione || da caduta petali ad inizio allegagione
Bologna e Ferrara,2026-04-08,PESCO,71,79,da scamiciatura a ingrossamento frutti
Bologna e Ferrara,2026-04-08,POMODORO_INDUSTRIA,0,15,da pre-trapianto a trapianto || pre-trapianto
Bologna e Ferrara,2026-04-08,SOIA,0,0,Pre-semina
