area,data,coltura,bbch_min,bbch_max,fasi
Bologna e Ferrara,2026-07-29,PERO,71,89,accrescimento frutti – maturazione || accrescimento frutti – maturazione cv precoci
Bologna e Ferrara,2026-07-29,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-07-29,POMODORO_INDUSTRIA,81,89,invaiatura – maturazione cv precoci
Bologna e Ferrara,2026-07-29,SOIA,69,79,da formazione baccelli a ingrossamento semi
Bologna e Ferrara,2026-07-29,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-07-29,VITE,81,83,invaiatura
Bologna e Ferrara,2026-08-05,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-08-05,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-08-05,MELO,71,89,da ingrossamento frutti a maturazione || ingrossamento frutti a maturazione
Bologna e Ferrara,2026-08-05,NOCE,75,79,indurimento guscio
Bologna e Ferrara,2026-08-05,OLIVO,71,79,accrescimento frutti
Bologna e Ferrara,2026-08-05,PERO,71,89,accrescimento frutti – maturazione || accrescimento frutti – maturazione cv precoci
Bologna e Ferrara,2026-08-05,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-08-05,POMODORO_INDUSTRIA,81,89,invaiatura – maturazione cv precoci
Bologna e Ferrara,2026-08-05,SOIA,69,79,da formazione baccelli a ingrossamento semi
Bologna e Ferrara,2026-08-05,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-08-05,VITE,81,83,invaiatura
Bologna e Ferrara,2026-08-19,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-08-19,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-08-19,MELO,71,89,da ingrossamento frutti a maturazione || ingrossamento frutti a maturazione
Bologna e Ferrara,2026-08-19,NOCE,81,87,maturazione gheriglio
Bologna e Ferrara,2026-08-19,OLIVO,71,79,accrescimento frutti
Bologna e Ferrara,2026-08-19,PERO,71,89,accrescimento frutti – maturazione
Bologna e Ferrara,2026-08-19,PESCO,81,93,da maturazione a post-raccolta
Bologna e Ferrara,2026-08-19,POMODORO_INDUSTRIA,81,89,invaiatura – maturazione
Bologna e Ferrara,2026-08-19,SOIA,75,79,ingrossamento semi
Bologna e Ferrara,2026-08-19,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-08-19,VITE,85,89,maturazione-raccolta
"Forli-Cesena, Ravenna, Rimini",2026-02-04,ACTINIDIA,0,0,gemma ferma
"Forli-Cesena, Ravenna, Rimini",2026-02-04,ALBICOCCO,0,51,da gemma ferma a rigonfiamento gemme
"Forli-Cesena, Ravenna, Rimini",2026-02-04,PESCO,0,3,da gemma ferma a inizio rottura gemma a legno
"Forli-Cesena, Ravenna, Rimini",2026-02-04,SUSINO_CINO_GIAPPONESE,0,51,da gemma ferma a rigonfiamento gemme
"Forli-Cesena, Ravenna, Rimini",2026-02-18,ACTINIDIA,0,0,gemma ferma
"Forli-Cesena, Ravenna, Rimini",2026-02-18,ALBICOCCO,51,57,da gemma gonfia a bottone rosso
"Forli-Cesena, Ravenna, Rimini",2026-02-18,MAIS,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-02-18,MELO,0,51,da gemma ferma ad inizio rigonfiamento gemme
"Forli-Cesena, Ravenna, Rimini",2026-02-18,PERO,0,51,da gemma ferma ad inizio rigonfiamento gemme
"Forli-Cesena, Ravenna, Rimini",2026-02-18,PESCO,51,57,da gemma gonfia a bottone rosa
"Forli-Cesena, Ravenna, Rimini",2026-02-18,SUSINO_CINO_GIAPPONESE,56,56,bottone verde
"Forli-Cesena, Ravenna, Rimini",2026-02-18,VITE,0,0,gemma ferma
"Forli-Cesena, Ravenna, Rimini",2026-02-25,ACTINIDIA,0,3,gemma ferma (cv verdi); rigonfiamento gemme (cv gialle)
"Forli-Cesena, Ravenna, Rimini",2026-02-25,ALBICOCCO,57,69,da bottone rosso a fioritura
"Forli-Cesena, Ravenna, Rimini",2026-02-25,CILIEGIO,51,51,rigonfiamento gemme
"Forli-Cesena, Ravenna, Rimini",2026-02-25,MAIS,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-02-25,MELO,51,52,rigonfiamento gemme
"Forli-Cesena, Ravenna, Rimini",2026-02-25,PERO,51,52,rigonfiamento gemme
"Forli-Cesena, Ravenna, Rimini",2026-02-25,PESCO,53,57,da rottura gemme a bottone rosa
"Forli-Cesena, Ravenna, Rimini",2026-02-25,SUSINO_CINO_GIAPPONESE,56,59,da bottone verde a bottone bianco
"Forli-Cesena, Ravenna, Rimini",2026-02-25,SUSINO_EUROPEO,51,51,rigonfiamento gemme
"Forli-Cesena, Ravenna, Rimini",2026-02-25,VITE,0,0,gemma ferma
"Forli-Cesena, Ravenna, Rimini",2026-03-04,ACTINIDIA,0,5,gemma ferma (cv verdi); gemma cotonosa (cv gialle)
"Forli-Cesena, Ravenna, Rimini",2026-03-04,ALBICOCCO,57,69,da bottone rosso a fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-04,CILIEGIO,51,53,da rigonfiamento gemme a rottura gemme
"Forli-Cesena, Ravenna, Rimini",2026-03-04,KAKI,0,3,da gemma ferma a gemma ingrossata
"Forli-Cesena, Ravenna, Rimini",2026-03-04,MAIS,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-03-04,MELO,51,53,da rigonfiamento gemme a punte verdi
"Forli-Cesena, Ravenna, Rimini",2026-03-04,OLIVO,0,9,da riposo vegetativo a ripresa vegetativa
"Forli-Cesena, Ravenna, Rimini",2026-03-04,PERO,51,53,da rigonfiamento gemme a rottura gemme
"Forli-Cesena, Ravenna, Rimini",2026-03-04,PESCO,57,69,da bottone rosa a fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-04,SUSINO_CINO_GIAPPONESE,57,61,da bottone bianco ad inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-04,SUSINO_EUROPEO,51,53,da rigonfiamento a rottura gemme
"Forli-Cesena, Ravenna, Rimini",2026-03-04,VITE,0,1,da gemma ferma ad inizio rigonfiamento gemme
"Forli-Cesena, Ravenna, Rimini",2026-03-11,ACTINIDIA,1,5,ingrossamento gemme (cv verdi); gemma cotonosa (cv gialle)
"Forli-Cesena, Ravenna, Rimini",2026-03-11,ALBICOCCO,60,69,da fioritura a caduta petali
"Forli-Cesena, Ravenna, Rimini",2026-03-11,CILIEGIO,53,53,rottura gemme
"Forli-Cesena, Ravenna, Rimini",2026-03-11,KAKI,1,3,gemma ingrossata
"Forli-Cesena, Ravenna, Rimini",2026-03-11,MAIS,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-03-11,MELO,53,54,da punte verdi ad orecchiette di topo
"Forli-Cesena, Ravenna, Rimini",2026-03-11,OLIVO,0,9,da riposo vegetativo a ripresa vegetativa
"Forli-Cesena, Ravenna, Rimini",2026-03-11,PERO,53,55,da rottura gemme a mazzetti affioranti
"Forli-Cesena, Ravenna, Rimini",2026-03-11,PESCO,60,69,fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-11,POMODORO_INDUSTRIA,0,13,pre-trapianto
"Forli-Cesena, Ravenna, Rimini",2026-03-11,SUSINO_CINO_GIAPPONESE,60,69,fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-11,SUSINO_EUROPEO,56,56,bottone verde
"Forli-Cesena, Ravenna, Rimini",2026-03-11,VITE,1,5,da rigonfiamento gemme a gemma cotonosa
"Forli-Cesena, Ravenna, Rimini",2026-03-18,ACTINIDIA,1,7,ingrossamento gemme (cv verdi); inizio germogliamento (cv gialle)
"Forli-Cesena, Ravenna, Rimini",2026-03-18,ALBICOCCO,60,69,da fioritura a caduta petali
"Forli-Cesena, Ravenna, Rimini",2026-03-18,CILIEGIO,56,59,da bottone verde a bottone bianco
"Forli-Cesena, Ravenna, Rimini",2026-03-18,KAKI,7,9,da punta verde ad inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-03-18,MAIS,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-03-18,MELO,54,55,da orecchiette di topo a comparsa dei mazzetti fiorali
"Forli-Cesena, Ravenna, Rimini",2026-03-18,OLIVO,1,9,ripresa vegetativa
"Forli-Cesena, Ravenna, Rimini",2026-03-18,PERO,55,61,da comparsa mazzetti fiorali ad inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-18,PESCO,60,69,da fioritura a caduta petali
"Forli-Cesena, Ravenna, Rimini",2026-03-18,POMODORO_INDUSTRIA,0,13,pre-trapianto
"Forli-Cesena, Ravenna, Rimini",2026-03-18,SUSINO_CINO_GIAPPONESE,60,69,da fioritura ad inizio caduta petali
"Forli-Cesena, Ravenna, Rimini",2026-03-18,SUSINO_EUROPEO,56,59,da bottone verde a bottone bianco
"Forli-Cesena, Ravenna, Rimini",2026-03-18,VITE,1,5,da rigonfiamento gemme a gemma cotonosa
"Forli-Cesena, Ravenna, Rimini",2026-03-25,ACTINIDIA,7,7,inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-03-25,ALBICOCCO,67,73,da caduta petali a scamiciatura
"Forli-Cesena, Ravenna, Rimini",2026-03-25,CILIEGIO,57,61,da bottone bianco ad inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-25,GIRASOLE,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-03-25,KAKI,7,9,germogliamento || inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-03-25,MAIS,0,0,da pre-semina a semina
"Forli-Cesena, Ravenna, Rimini",2026-03-25,MELO,55,61,da mazzetti affioranti a inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-25,OLIVO,1,9,ripresa vegetativa
"Forli-Cesena, Ravenna, Rimini",2026-03-25,PERO,55,69,da mazzetti divaricati a fioritura || da comparsa mazzetti fiorali ad inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-25,PESCO,60,71,da fioritura ad allegagione
"Forli-Cesena, Ravenna, Rimini",2026-03-25,POMODORO_INDUSTRIA,0,13,pre-trapianto
"Forli-Cesena, Ravenna, Rimini",2026-03-25,SUSINO_CINO_GIAPPONESE,60,71,da fioritura ad allegagione
"Forli-Cesena, Ravenna, Rimini",2026-03-25,SUSINO_EUROPEO,57,61,da bottone bianco a inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-03-25,VITE,5,7,da gemma cotonosa ad inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-04-01,ACTINIDIA,7,7,inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-04-01,ALBICOCCO,72,73,scamiciatura
"Forli-Cesena, Ravenna, Rimini",2026-04-01,CILIEGIO,60,69,fioritura
"Forli-Cesena, Ravenna, Rimini",2026-04-01,GIRASOLE,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-04-01,KAKI,7,9,germogliamento || inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-04-01,MAIS,0,8,da pre-semina a pre-emergenza
"Forli-Cesena, Ravenna, Rimini",2026-04-01,MELO,57,69,da bottoni rosa a fioritura
"Forli-Cesena, Ravenna, Rimini",2026-04-01,NOCE,7,7,inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-04-01,OLIVO,1,9,ripresa vegetativa
"Forli-Cesena, Ravenna, Rimini",2026-04-01,PERO,60,69,fioritura
"Forli-Cesena, Ravenna, Rimini",2026-04-01,PESCO,71,71,allegagione
"Forli-Cesena, Ravenna, Rimini",2026-04-01,POMODORO_INDUSTRIA,0,13,pre-trapianto
"Forli-Cesena, Ravenna, Rimini",2026-04-01,SOIA,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-04-01,SUSINO_CINO_GIAPPONESE,60,71,da caduta petali ad allegagione || da fioritura ad allegagione
"Forli-Cesena, Ravenna, Rimini",2026-04-01,SUSINO_EUROPEO,57,69,da fioritura a caduta petali || da bottone bianco a inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-04-01,VITE,5,7,da gemma cotonosa ad inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-04-08,ACTINIDIA,7,9,germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-04-08,ALBICOCCO,71,79,da scamiciatura ad accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-08,CILIEGIO,60,69,da fioritura a caduta petali
"Forli-Cesena, Ravenna, Rimini",2026-04-08,GIRASOLE,0,0,da pre-semina a semina
"Forli-Cesena, Ravenna, Rimini",2026-04-08,KAKI,7,55,da germogliamento a comparsa bottoni fiorali || inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-04-08,MAIS,0,8,da pre-semina a pre-emergenza
"Forli-Cesena, Ravenna, Rimini",2026-04-08,MELO,60,69,da fioritura a caduta petali
"Forli-Cesena, Ravenna, Rimini",2026-04-08,NOCE,7,7,inizio germogliamento
"Forli-Cesena, Ravenna, Rimini",2026-04-08,OLIVO,1,9,ripresa vegetativa
"Forli-Cesena, Ravenna, Rimini",2026-04-08,PERO,67,71,da caduta petali ad inizio allegagione
"Forli-Cesena, Ravenna, Rimini",2026-04-08,PESCO,71,79,da scamiciatura a ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-08,POMODORO_INDUSTRIA,0,15,da pre-trapianto a trapianto || pre-trapianto
"Forli-Cesena, Ravenna, Rimini",2026-04-08,SOIA,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-04-08,SUSINO,67,73,da caduta petali a scamiciatura
"Forli-Cesena, Ravenna, Rimini",2026-04-08,VITE,11,53,da prime foglie distese a grappolini visibili
"Forli-Cesena, Ravenna, Rimini",2026-04-15,ACTINIDIA,7,55,da germogliamento a comparsa bottoni fiorali
"Forli-Cesena, Ravenna, Rimini",2026-04-15,ALBICOCCO,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-15,CILIEGIO,67,79,da caduta petali ad accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-15,GIRASOLE,0,0,da pre-semina a semina
"Forli-Cesena, Ravenna, Rimini",2026-04-15,KAKI,7,55,da germogliamento a comparsa bottoni fiorali
"Forli-Cesena, Ravenna, Rimini",2026-04-15,MAIS,0,9,emergenza || da pre-emergenza ad emergenza
"Forli-Cesena, Ravenna, Rimini",2026-04-15,MELO,60,71,da caduta petali ad allegagione || da fioritura ad allegagione
"Forli-Cesena, Ravenna, Rimini",2026-04-15,NOCE,7,59,da germogliamento ad emissione amenti
"Forli-Cesena, Ravenna, Rimini",2026-04-15,OLIVO,1,9,ripresa vegetativa
"Forli-Cesena, Ravenna, Rimini",2026-04-15,PERO,71,71,allegagione
"Forli-Cesena, Ravenna, Rimini",2026-04-15,PESCO,71,79,da scamiciatura ad ingrossamento frutti || da scamiciatura a ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-15,POMODORO_INDUSTRIA,0,15,da pre-trapianto a trapianto
"Forli-Cesena, Ravenna, Rimini",2026-04-15,SOIA,0,0,pre-semina
"Forli-Cesena, Ravenna, Rimini",2026-04-15,SUSINO,67,72,da caduta petali ad inizio ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-15,VITE,11,53,da prime foglie distese a grappolini visibili
"Forli-Cesena, Ravenna, Rimini",2026-04-22,ACTINIDIA,7,55,comparsa bottoni fiorali || da germogliamento a comparsa bottoni fiorali
"Forli-Cesena, Ravenna, Rimini",2026-04-22,ALBICOCCO,71,79,da accrescimento frutti ad indurimento nocciolo
"Forli-Cesena, Ravenna, Rimini",2026-04-22,CILIEGIO,71,79,accrescimento frutti || ad accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-22,GIRASOLE,0,9,da semina ad emergenza
"Forli-Cesena, Ravenna, Rimini",2026-04-22,KAKI,51,55,comparsa bottoni fiorali
"Forli-Cesena, Ravenna, Rimini",2026-04-22,MAIS,9,13,da emergenza a 2-3 foglie
"Forli-Cesena, Ravenna, Rimini",2026-04-22,MELO,71,79,da allegagione ad ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-22,NOCE,7,61,da emissione amenti ad inizio fioritura || da germogliamento ad emissione amenti
"Forli-Cesena, Ravenna, Rimini",2026-04-22,OLIVO,1,52,da ripresa vegetativa ad inizio mignolatura
"Forli-Cesena, Ravenna, Rimini",2026-04-22,PERO,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-22,PESCO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-22,POMODORO_INDUSTRIA,0,15,da pre-trapianto a trapianto
"Forli-Cesena, Ravenna, Rimini",2026-04-22,SOIA,0,0,da pre-semina a semina
"Forli-Cesena, Ravenna, Rimini",2026-04-22,SUSINO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-22,VITE,11,55,da sviluppo foglie a grappolini separati
"Forli-Cesena, Ravenna, Rimini",2026-04-29,ACTINIDIA,55,61,da bottoni fiorali ad inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-04-29,ALBICOCCO,71,79,da accrescimento frutti ad indurimento nocciolo
"Forli-Cesena, Ravenna, Rimini",2026-04-29,CILIEGIO,71,85,da accrescimento frutti ad invaiatura || ad accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-29,GIRASOLE,0,10,da pre-emergenza a cotiledoni
"Forli-Cesena, Ravenna, Rimini",2026-04-29,KAKI,55,59,bottoni fiorali
"Forli-Cesena, Ravenna, Rimini",2026-04-29,MAIS,9,15,da emergenza a 2-5 foglie
"Forli-Cesena, Ravenna, Rimini",2026-04-29,MELO,71,79,ingrossamento frutti || da allegagione ad ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-29,NOCE,60,69,fioritura
"Forli-Cesena, Ravenna, Rimini",2026-04-29,OLIVO,50,57,mignolatura
"Forli-Cesena, Ravenna, Rimini",2026-04-29,PERO,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-29,PESCO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-29,POMODORO_INDUSTRIA,0,15,da pre-trapianto a trapianto
"Forli-Cesena, Ravenna, Rimini",2026-04-29,SOIA,0,9,da semina a emergenza
"Forli-Cesena, Ravenna, Rimini",2026-04-29,SUSINO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-04-29,VITE,53,55,da grappolini visibili a grappoli separati
"Forli-Cesena, Ravenna, Rimini",2026-05-06,ACTINIDIA,55,69,da bottone bianco a fioritura || da bottoni fiorali ad inizio fioritura da bottone bianco a fioritura
"Forli-Cesena, Ravenna, Rimini",2026-05-06,ALBICOCCO,75,77,indurimento nocciolo
"Forli-Cesena, Ravenna, Rimini",2026-05-06,CILIEGIO,71,85,da accrescimento frutti ad invaiatura
"Forli-Cesena, Ravenna, Rimini",2026-05-06,GIRASOLE,10,14,da cotiledoni a 2-4 foglie
"Forli-Cesena, Ravenna, Rimini",2026-05-06,KAKI,55,61,da bottoni fiorali ad inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-05-06,MAIS,13,19,3-10 foglie
"Forli-Cesena, Ravenna, Rimini",2026-05-06,MELO,71,79,ingrossamento frutti || da allegagione ad ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-06,NOCE,67,69,da fine fioritura ad allegagione
"Forli-Cesena, Ravenna, Rimini",2026-05-06,OLIVO,50,57,mignolatura
"Forli-Cesena, Ravenna, Rimini",2026-05-06,PERO,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-06,PESCO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-06,POMODORO_INDUSTRIA,0,61,da pre-trapianto a inizio fioritura primo palco varietà precocissime
"Forli-Cesena, Ravenna, Rimini",2026-05-06,SOIA,0,11,da semina a prime foglie vere
"Forli-Cesena, Ravenna, Rimini",2026-05-06,SUSINO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-06,VITE,55,57,da grappoli separati ad inizio bottoni fiorali separati
"Forli-Cesena, Ravenna, Rimini",2026-05-13,ACTINIDIA,60,79,da fioritura ad ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-13,ALBICOCCO,75,81,da indurimento nocciolo ad inizio maturazione
"Forli-Cesena, Ravenna, Rimini",2026-05-13,CILIEGIO,71,89,da accrescimento frutti a maturazione
"Forli-Cesena, Ravenna, Rimini",2026-05-13,GIRASOLE,10,16,da cotiledoni a 2-6 foglie
"Forli-Cesena, Ravenna, Rimini",2026-05-13,KAKI,55,69,da bottoni fiorali a fioritura
"Forli-Cesena, Ravenna, Rimini",2026-05-13,MAIS,16,19,6-12 foglie
"Forli-Cesena, Ravenna, Rimini",2026-05-13,MELO,71,79,ingrossamento frutti || da allegagione ad ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-13,NOCE,69,69,allegagione
"Forli-Cesena, Ravenna, Rimini",2026-05-13,OLIVO,50,57,mignolatura
"Forli-Cesena, Ravenna, Rimini",2026-05-13,PERO,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-13,PESCO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-13,POMODORO_INDUSTRIA,0,62,da pre-trapianto a fioritura secondo palco
"Forli-Cesena, Ravenna, Rimini",2026-05-13,SOIA,0,11,da pre-semina a prime foglie vere || da semina a prime foglie vere
"Forli-Cesena, Ravenna, Rimini",2026-05-13,SUSINO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-13,VITE,55,61,da grappoli separati ad inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-05-20,ACTINIDIA,67,79,da caduta petali ad ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-20,ALBICOCCO,71,89,da accrescimento frutti a maturazione
"Forli-Cesena, Ravenna, Rimini",2026-05-20,CILIEGIO,71,89,da accrescimento frutti a maturazione
"Forli-Cesena, Ravenna, Rimini",2026-05-20,GIRASOLE,10,16,da cotiledoni a 4-6 foglie
"Forli-Cesena, Ravenna, Rimini",2026-05-20,KAKI,55,69,da bottoni fiorali a fioritura
"Forli-Cesena, Ravenna, Rimini",2026-05-20,MAIS,18,19,8-12 foglie
"Forli-Cesena, Ravenna, Rimini",2026-05-20,MELO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-20,NOCE,71,79,accrescimento frutto
"Forli-Cesena, Ravenna, Rimini",2026-05-20,OLIVO,50,61,da mignolatura ad inizio fioritura
"Forli-Cesena, Ravenna, Rimini",2026-05-20,PERO,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-20,PESCO,71,79,da ingrossamento frutti ad indurimento nocciolo
"Forli-Cesena, Ravenna, Rimini",2026-05-20,POMODORO_INDUSTRIA,0,72,da pre-trapianto ad allegagione secondo palco
"Forli-Cesena, Ravenna, Rimini",2026-05-20,SOIA,11,13,da prime foglie vere a 2° foglia trilobata
"Forli-Cesena, Ravenna, Rimini",2026-05-20,SUSINO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-20,VITE,55,69,da grappoli separati a fioritura
"Forli-Cesena, Ravenna, Rimini",2026-05-27,ACTINIDIA,69,79,da allegagione ad ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-27,ALBICOCCO,71,89,da accrescimento frutti a maturazione
"Forli-Cesena, Ravenna, Rimini",2026-05-27,CILIEGIO,81,89,da invaiatura frutti a maturazione
"Forli-Cesena, Ravenna, Rimini",2026-05-27,KAKI,67,79,da caduta petali ad accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-27,MAIS,18,39,da 8 foglie a levata
"Forli-Cesena, Ravenna, Rimini",2026-05-27,MELO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-27,NOCE,71,79,accrescimento frutto
"Forli-Cesena, Ravenna, Rimini",2026-05-27,OLIVO,60,69,fioritura
"Forli-Cesena, Ravenna, Rimini",2026-05-27,PERO,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-27,PESCO,71,79,da ingrossamento frutti ad indurimento nocciolo
"Forli-Cesena, Ravenna, Rimini",2026-05-27,POMODORO_INDUSTRIA,0,73,da pre-trapianto ad allegagione terzo palco
"Forli-Cesena, Ravenna, Rimini",2026-05-27,SOIA,13,15,2-4 foglie trilobate
"Forli-Cesena, Ravenna, Rimini",2026-05-27,SUSINO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-05-27,VITE,60,71,da fioritura ad allegagione
"Forli-Cesena, Ravenna, Rimini",2026-06-03,ACTINIDIA,69,79,da allegagione ad ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-06-03,ALBICOCCO,71,89,da accrescimento frutti a maturazione
"Forli-Cesena, Ravenna, Rimini",2026-06-03,CILIEGIO,81,89,maturazione
"Forli-Cesena, Ravenna, Rimini",2026-06-03,KAKI,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-06-03,MAIS,18,39,da 8 foglie a levata
"Forli-Cesena, Ravenna, Rimini",2026-06-03,MELO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-06-03,NOCE,71,79,accrescimento frutto
"Forli-Cesena, Ravenna, Rimini",2026-06-03,OLIVO,69,69,allegagione
"Forli-Cesena, Ravenna, Rimini",2026-06-03,PERO,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-06-03,PESCO,71,89,da ingrossamento frutti a maturazione || da ingrossamento frutti ad indurimento nocciolo
"Forli-Cesena, Ravenna, Rimini",2026-06-03,POMODORO_INDUSTRIA,0,73,da pre-trapianto ad allegagione terzo palco
"Forli-Cesena, Ravenna, Rimini",2026-06-03,SOIA,14,16,3-5 foglie trilobate
"Forli-Cesena, Ravenna, Rimini",2026-06-03,SUSINO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-06-03,VITE,71,75,da allegagione a sviluppo degli acini
"Forli-Cesena, Ravenna, Rimini",2026-06-10,ACTINIDIA,71,79,ad ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-06-10,ALBICOCCO,71,89,da accrescimento frutti a maturazione
"Forli-Cesena, Ravenna, Rimini",2026-06-10,CILIEGIO,81,89,maturazione
"Forli-Cesena, Ravenna, Rimini",2026-06-10,KAKI,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-06-10,MAIS,30,59,da levata ad emissione pennacchio
"Forli-Cesena, Ravenna, Rimini",2026-06-10,MELO,71,79,ingrossamento frutti
"Forli-Cesena, Ravenna, Rimini",2026-06-10,NOCE,71,79,accrescimento frutto
"Forli-Cesena, Ravenna, Rimini",2026-06-10,OLIVO,69,69,allegagione
"Forli-Cesena, Ravenna, Rimini",2026-06-10,PERO,71,79,accrescimento frutti
"Forli-Cesena, Ravenna, Rimini",2026-06-10,PESCO,71,89,da ingrossamento frutti a maturazione
"Forli-Cesena, Ravenna, Rimini",2026-06-10,POMODORO_INDUSTRIA,71,74,allegagione 1°- 4° palco
"Forli-Cesena, Ravenna, Rimini",2026-06-10,SOIA,14,16,3-5 foglie trilobate
"Forli-Cesena, Ravenna, Rimini",2026-06-10,SUSINO,71,89,da ingrossamento frutti a maturazione
"Forli-Cesena, Ravenna, Rimini",2026-06-10,VITE,73,77,da sviluppo acini a pre-chiusura grappolo
"Forli-Cesena, Ravenna, Rimini",2026-06-17,ACTINIDIA,71,79,ingrossamento frutti
